Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Черненко,Алла,Семенівна,Жінка,17.01.1960,Візажист,селище Татарбунари,"сквер Лінія 53-тя, буд. 12, Золочів, 32546",+380 49 361-38-28,milenakharchenko@example.com
Вернигора,Надія,Федірівна,Жінка,20.09.1958,Журналіст,селище Рудки,"сквер Дмитрія Донського, буд. 2 кв. 309, Калинівка , 68686",067 935 87 73,radchenkoboryslav@example.net
Цюцюра,Альберт,Болеславович,Чоловік,09.09.1955,Промисловець,хутір Очаків,"вулиця Чапаєва, буд. 9, Косів, 35394",+380 97 468-04-63,iustynashamrai@example.com
Ґжицький,Дарина,Єлисеївна,Жінка,31.10.1993,Перекладач,місто Полтава,"парк Лузанівка, буд. 77, Баштанка, 57902",017 64 72,miakovenko@example.org
Парасюк,Юстина,Леопольдівна,Жінка,26.11.1955,Реабілітолог,село Устилуг,"парк Обсерваторний, буд. 812 кв. 829, Добропілля, 60072",072 510 02 55,milena07@example.net
Шаблій,Камілла,Парменівна,Жінка,25.06.2007,Футболіст,місто Сторожинець,"сквер Приморський, буд. 93 кв. 64, Устилуг, 62337",157 99 86,oksana07@example.net
Лавренко,Людмила,Амвросіївна,Жінка,03.06.1993,Піаніст,село Світловодськ,"провулок Наклонна, буд. 4 кв. 4, Помічна, 06722",050 510 56 35,ieroshenkosnizhana@example.net
Журба,Анастасія,Лесьівна,Жінка,12.06.1963,Бухгалтер,селище Бережани,"шосе Донецька, буд. 2 кв. 540, Тячів, 37959",+380 66 741-09-21,khrystyna30@example.org
Шеремет,Аврелій,Юстимович,Чоловік,02.10.1947,Підприємець,село Славутич,"проспект Ланжеронівська, буд. 80 кв. 0, Комарно, 60052",+380 31 245-23-89,vlokhedyta@example.com
Адаменко,Ганна,Тарасівна,Жінка,18.05.2002,Сценарист,місто Ворожба,"проспект Маячний, буд. 6, Середина-Буда, 45661",+380 22 985 83 49,qvelychko@example.org
Лазаренко,Василина,Олесьівна,Жінка,02.05.1970,Намотувальник,місто Коростишів,"узвіз Маршрутна, буд. 02 кв. 8, Кам'янка-Дніпровська, 45093",+380 86 942-51-11,jtovstolis@example.net
Василечко,Марія,Вадимівна,Жінка,11.08.1953,Мистецтвознавець,село Долина ,"проспект Горизонтальна, буд. 3 кв. 699, Галич, 82923",001 135-62-50,fartym@example.net
Вівчаренко,Єфрем,Леонідович,Чоловік,25.06.2007,Астрофізик,селище Ладижин,"вулиця Абрикосовий, буд. 1 кв. 5, Христинівка, 85092",774-67-12,wsaienko@example.com
Алексюк,Зорян,Миронович,Чоловік,02.11.1977,Маркетолог,хутір Ананьїв,"парк Єлисаветградський, буд. 33, Сніжне, 86972",+380 74 242-85-99,spasrudyk@example.net
Зарудний,Охрім,Ааронович,Чоловік,15.08.1960,Маркетолог,село Южне,"парк Суднобудівна, буд. 8, Підгородне, 52799",046-79-68,vievdokymenko@example.net
Абраменко,Гаврило,Григорійович,Чоловік,12.01.1953,Зоолог,селище Деражня,"шосе Банний, буд. 1, Гола Пристань, 57423",+380 (62) 285-07-29,tarasenkodanna@example.org
Атрощенко,Алла,Леонтіївна,Жінка,02.01.1949,Астроном,село Болград,"узвіз Мелітопольська, буд. 44, Берегове, 25052",+380 (95) 474-01-13,qprykhodko@example.com
Дробаха,Олекса,Олександрович,Чоловік,19.10.1959,Детектив,місто Сторожинець,"площа Шишкіна, буд. 56 кв. 76, Почаїв, 79757",000 780 77 75,babiitrokhym@example.net
Свистун,Єлисей,Стефанович,Чоловік,03.07.1940,Музичний редактор,місто Покров,"провулок Ботанічний, буд. 356 кв. 22, Миколаїв, 81557",+380 51 871 05 83,roksolana15@example.com
Медведенко,Ірина,Зорянівна,Жінка,12.02.1940,Математик,село Буча,"проспект Каманіна, буд. 7 кв. 3, Заліщики, 82788",+380 76 338 91 33,oleksadanylenko@example.com
Ящук,Оксенія,Глібівна,Жінка,03.02.1955,Вчитель,село Дубляни,"набережна Кифоренка Бориса, буд. 1, Молочанськ, 81764",+380 87 085-50-73,edyta13@example.net
Цушко,Варвара,Леопольдівна,Жінка,26.07.1988,Стоматолог,хутір Дніпро ,"узвіз Висоцького, буд. 0, Нова Одеса, 05284",+380 (86) 888-88-47,vadym17@example.net
Євдокименко,Ліза,Варфоломіївна,Жінка,12.11.1957,Археолог,селище Зборів,"проспект Прибережний, буд. 612 кв. 9, Гребінка, 06344",002-38-60,mykhailiukmyron@example.net
Шеремет,Миколай,Онисимович,Чоловік,10.06.1948,Музикант,селище Нововолинськ,"набережна Старобазарний, буд. 978, Добропілля, 14384",+380 (61) 971-02-19,nehodaavhustyn@example.net
Бандурка,Ярослав,Віталійович,Чоловік,11.09.1971,Живописець,село Севастополь,"сквер Мукачівський, буд. 43 кв. 563, Гребінка, 83790",+380 (18) 880-63-11,svitlanachumak@example.net
Романчук,Федір,Леонтійович,Чоловік,14.11.1950,Графік,хутір Бібрка,"шосе Ползунова 1-й, буд. 03, Сарни, 42397",013 650 03 67,boleslav89@example.org
Захарченко,Климент,Леопольдович,Чоловік,14.10.1938,Громадський діяч,хутір Синельникове,"вулиця Михайлівська, буд. 81 кв. 539, Снятин, 84379",+380 63 230-99-26,omatiash@example.com
Єресько,Макар,Микитаович,Чоловік,23.08.1956,Режисер,село Ковель,"вулиця Лінія 45-та, буд. 698, Переяслав, 30274",398 11 73,bezditkovitalii@example.com
Онищенко,Михайло,Арсенович,Чоловік,21.07.1960,Кінорежисер,місто Путивль,"набережна Бучми, буд. 1, Конотоп, 15768",304-04-00,petrenkovalerii@example.com
Ґоляш,Віра,Геннадіївна,Жінка,19.09.1957,Клавішник,хутір Запоріжжя,"сквер Французький, буд. 1, Бобринець, 02190",+380 32 924-79-84,panteleimon12@example.net
Полтавець,Ірина,Русланівна,Жінка,24.01.2007,Ді-джей,хутір Городня,"вулиця Коцебу міст, буд. 6, Сніжне, 70996",037-15-37,lmoskal@example.org
Пʼятаченко,Лесь,Зорянович,Чоловік,10.06.2006,Бізнесмен,місто Первомайський ,"площа Краснова, буд. 53 кв. 79, Сколе, 34068",070 785-05-10,iustym74@example.org
Лукаш,Едита,Онисимівна,Жінка,22.01.1979,Актор,хутір Городище ,"провулок Краснова, буд. 9, Зугрес, 07583",+380 (02) 792-63-91,spasmazepa@example.com
Забара,Борислав,Азарович,Чоловік,09.01.1979,Пілот,селище Тячів,"сквер Хаджибейський 2-й, буд. 839 кв. 9, Новий Буг, 06941",+380 05 352 33 06,ihorievdokymenko@example.net
Дубенко,Марко,Лукʼянович,Чоловік,11.02.1977,Археолог,місто Мар'їнка,"вулиця Басейний 3-й, буд. 4, Канів, 15869",818-95-30,haidenkobohuslava@example.net
Шаповал,Богуслава,Миколаївна,Жінка,10.10.1955,Перекладач,місто Сватове,"набережна Побратимів, буд. 3 кв. 2, Городенка, 79513",694 31 53,liaremkiv@example.net
Засуха,Зорян,Васильович,Чоловік,27.02.1950,Електромонтажник,село Тростянець,"сквер Проектований 3-й, буд. 9, Копичинці, 92928",+380 63 977-23-82,davyd93@example.net
Чумак,Оксана,Орестівна,Жінка,13.02.1978,Ріелтор,селище Семенівка,"площа Віри Фігнер, буд. 60 кв. 31, Богодухів, 89071",+380 27 084-94-52,vduplii@example.org
Ляшко,Мартин,Болеславович,Чоловік,09.11.2006,Антрополог,місто Благовіщенське,"узвіз Троїцька, буд. 347, Буринь, 01665",+380 (86) 618-94-90,vitaliihuzii@example.com
Ватаманюк,Людмила,Бориславівна,Жінка,10.08.1970,Кінолог,хутір Обухів,"проспект Давида Ойстраха, буд. 85, Ватутіне, 35191",786-32-21,iurchyshynsofiia@example.net
Цимбал,Юхим,Маркович,Чоловік,04.06.1999,Астрофізик,місто Городище ,"вулиця Восьмого березня 5-й, буд. 186 кв. 11, Берегове, 69214",+380 48 080-35-95,deriazhnyimariana@example.com
